,Year,Make,Model,Price,Kilometrage,URL
63,2019,Honda,civic,20980,114000,https://www.facebook.com/marketplace/item/1154090149180823/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
64,2019,Honda,civic,22495,107000,https://www.facebook.com/marketplace/item/2235415890145489/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
65,2017,Honda,civic,18900,92000,https://www.facebook.com/marketplace/item/508297504979032/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
66,2014,Honda,civic,13495,70000,https://www.facebook.com/marketplace/item/1211061910242721/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
67,2019,Honda,civic,19999,72000,https://www.facebook.com/marketplace/item/883679113779416/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
68,2016,Honda,civic,13295,144000,https://www.facebook.com/marketplace/item/524485820016335/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
69,2017,Honda,civic,14995,109000,https://www.facebook.com/marketplace/item/2290605081271520/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
70,2018,Honda,civic,18499,142000,https://www.facebook.com/marketplace/item/7945795705487695/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
71,2016,Honda,civic,18999,144000,https://www.facebook.com/marketplace/item/7876022299101861/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
72,2017,Honda,civic,22500,55000,https://www.facebook.com/marketplace/item/405836275832919/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
73,2005,Honda,civic,4700,196800,https://www.facebook.com/marketplace/item/1020346933141078/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
74,2018,Honda,civic,18990,96000,https://www.facebook.com/marketplace/item/831014439004323/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
76,2019,Honda,civic,21962,128000,https://www.facebook.com/marketplace/item/807196388189699/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
77,2020,Honda,civic,20490,59000,https://www.facebook.com/marketplace/item/7361596203942402/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
78,2018,Honda,civic,18948,119000,https://www.facebook.com/marketplace/item/993561072239500/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
79,2020,Honda,civic,18750,109000,https://www.facebook.com/marketplace/item/1692639448220992/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
80,2015,Honda,civic,13998,119000,https://www.facebook.com/marketplace/item/458041313801056/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
81,2018,Honda,civic,21492,70000,https://www.facebook.com/marketplace/item/1009816340651628/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
82,2017,Honda,civic,16999,118400,https://www.facebook.com/marketplace/item/296313756902221/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
83,2014,Honda,civic,12995,101000,https://www.facebook.com/marketplace/item/832997498547337/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
84,2020,Honda,civic,18995,83000,https://www.facebook.com/marketplace/item/852909102903692/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
85,2017,Honda,civic,17241,145000,https://www.facebook.com/marketplace/item/486264090679733/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
86,2015,Honda,civic,14949,59000,https://www.facebook.com/marketplace/item/3497795697176985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
87,2015,Honda,civic,14888,177000,https://www.facebook.com/marketplace/item/2117096262009024/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
88,2018,Honda,civic,17988,112000,https://www.facebook.com/marketplace/item/860002198903746/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
89,2020,Honda,civic,23399,127000,https://www.facebook.com/marketplace/item/823397629897153/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
90,2018,Honda,civic,20990,54000,https://www.facebook.com/marketplace/item/461098773554057/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
91,2017,Honda,civic,16989,98000,https://www.facebook.com/marketplace/item/439356242425025/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
